country_code,city,funding_total_usd,funding_rounds,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,company_count,Latitude,Longitude
USA,Winter Park,344172500,15,10017.0,550000,126212500,85000,0,325000,205000000,0,0,0,12000000,0,0,0,4500000,7000000,0,0,0,0,0,0,7,28.59999980000001,-81.33923519999998
USA,Wisconsin Rapids,40000000,1,1984.0,0,0,0,0,0,0,0,0,40000000,0,0,0,0,0,0,0,0,0,0,0,0,1,44.38357630000001,-89.8173465
USA,Wise,200000,1,1980.0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.975934499999994,-82.5757108
USA,Wisner,250000,1,2002.0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.9872249,-96.91420550000001
USA,Wixom,53891270,6,5985.0,1504290,15000000,150000,0,0,30236980,0,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,3,42.5247555,-83.5363268
USA,Woburn,767285457,104,76116.0,7572598,667776636,0,0,569999,23366224,600000,2400000,0,65000000,0,0,0,129260000,114999992,116200000,38000000,0,0,0,0,49,42.479261799999996,-71.1522765
USA,Wood Dale,7060006,3,0.0,0,7000006,0,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.9633625,-87.9789562
USA,Woodbine,2050000,4,2001.0,0,0,0,0,0,2050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.37381729999999,-77.0569038
USA,Woodbridge,4989316,6,4010.0,300000,4684316,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41.352596999999996,-73.0084385
USA,Woodbury,12000000,2,4012.0,1000000,11000000,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000,0,0,0,0,0,2,41.36453820000001,-74.10597750000002
USA,Woodcliff Lake,15638194,4,6033.0,1190000,12348194,0,0,0,0,0,0,2100000,0,0,0,0,0,0,0,0,0,0,0,0,4,41.0234304,-74.06652969999998
USA,Woodinville,79990748,9,10020.0,0,77984630,0,1006118,0,1000000,0,0,0,0,0,0,0,1362685,0,0,0,0,0,0,0,6,47.7542651,-122.1634581
USA,Woodland Hills,81713395,32,28103.0,7595000,30520395,0,0,0,19248000,1350000,0,0,23000000,0,0,0,11367000,0,0,0,0,0,0,0,20,34.165357,-118.6089752
USA,Woodridge,294000000,4,2007.0,0,294000000,0,0,0,0,0,0,0,0,0,0,0,40000000,0,100000000,50000000,104000000,0,0,0,1,41.7469749,-88.0503406
